filepath,filename,category,subtype,sample_rate,duration,status
fake_voice_fake_bg_wf_2s\balanced\0000__LJ001-0006_generated__X__fake_bg_0035_jl096EJv57oXuZzsPimM.wav,0000__LJ001-0006_generated__X__fake_bg_0035_jl096EJv57oXuZzsPimM.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0001__LJ002-0328_generated__X__fake_bg_0009_4BqVnv2GjJ7rL8AzPdpu.wav,0001__LJ002-0328_generated__X__fake_bg_0009_4BqVnv2GjJ7rL8AzPdpu.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0002__LJ004-0242_generated__X__fake_bg_0248_vFNkKX0ARE4VYfDULxGu.wav,0002__LJ004-0242_generated__X__fake_bg_0248_vFNkKX0ARE4VYfDULxGu.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0003__LJ003-0315_generated__X__fake_bg_0716_kZpNhiFyRUefA08l43ws.wav,0003__LJ003-0315_generated__X__fake_bg_0716_kZpNhiFyRUefA08l43ws.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0004__LJ004-0218_generated__X__fake_bg_0376_9emNqMkCLXV5d0gJ7vPS.wav,0004__LJ004-0218_generated__X__fake_bg_0376_9emNqMkCLXV5d0gJ7vPS.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0005__LJ002-0233_generated__X__fake_bg_0390_elrnz57m2WfVjNvIHRts.wav,0005__LJ002-0233_generated__X__fake_bg_0390_elrnz57m2WfVjNvIHRts.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0006__LJ001-0066_generated__X__fake_bg_0495_POfCIiZ4acDjd0Hl3E8U.wav,0006__LJ001-0066_generated__X__fake_bg_0495_POfCIiZ4acDjd0Hl3E8U.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0007__LJ004-0128_generated__X__fake_bg_0684_W9j8ftxwsGen0NrgpXHc.wav,0007__LJ004-0128_generated__X__fake_bg_0684_W9j8ftxwsGen0NrgpXHc.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0008__LJ004-0018_generated__X__fake_bg_0950_8jRX7kK5NsDJyHQVzA4p.wav,0008__LJ004-0018_generated__X__fake_bg_0950_8jRX7kK5NsDJyHQVzA4p.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0009__LJ002-0175_generated__X__fake_bg_0937_UwjQAtdKELauyB5SNZs7.wav,0009__LJ002-0175_generated__X__fake_bg_0937_UwjQAtdKELauyB5SNZs7.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0010__LJ002-0183_generated__X__fake_bg_0041_3YGzihfgoA96IXklP8L0.wav,0010__LJ002-0183_generated__X__fake_bg_0041_3YGzihfgoA96IXklP8L0.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0011__LJ001-0120_generated__X__fake_bg_0368_WfeUyJEIpuNkg3BVM09A.wav,0011__LJ001-0120_generated__X__fake_bg_0368_WfeUyJEIpuNkg3BVM09A.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0012__LJ004-0037_generated__X__fake_bg_0316_BQdkHnNDEfvOJhijglAX.wav,0012__LJ004-0037_generated__X__fake_bg_0316_BQdkHnNDEfvOJhijglAX.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0013__LJ003-0140_generated__X__fake_bg_0321_zRqT8xm3MVlZ5od4ayOU.wav,0013__LJ003-0140_generated__X__fake_bg_0321_zRqT8xm3MVlZ5od4ayOU.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0014__LJ004-0013_generated__X__fake_bg_0762_5wS3sfFybRWkjg7ZmGx8.wav,0014__LJ004-0013_generated__X__fake_bg_0762_5wS3sfFybRWkjg7ZmGx8.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0015__LJ002-0259_generated__X__fake_bg_0326_UIMSXdz9jArFhZm834lL.wav,0015__LJ002-0259_generated__X__fake_bg_0326_UIMSXdz9jArFhZm834lL.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0016__LJ004-0171_generated__X__fake_bg_0948_jyCzZTD9w63R4c0hNd5P.wav,0016__LJ004-0171_generated__X__fake_bg_0948_jyCzZTD9w63R4c0hNd5P.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0017__LJ002-0018_generated__X__fake_bg_0373_l0MPk4jSymwOotnGHqxI.wav,0017__LJ002-0018_generated__X__fake_bg_0373_l0MPk4jSymwOotnGHqxI.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0018__LJ002-0322_generated__X__fake_bg_0622_ouNzBiDp8dcJ3UCnYkrA.wav,0018__LJ002-0322_generated__X__fake_bg_0622_ouNzBiDp8dcJ3UCnYkrA.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0019__LJ004-0015_generated__X__fake_bg_0987_lhMx4nXLkGwFdNsiyR8H.wav,0019__LJ004-0015_generated__X__fake_bg_0987_lhMx4nXLkGwFdNsiyR8H.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0020__LJ003-0098_generated__X__fake_bg_0166_XYZFBUDS53d9AlW47ajx.wav,0020__LJ003-0098_generated__X__fake_bg_0166_XYZFBUDS53d9AlW47ajx.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0021__LJ002-0143_generated__X__fake_bg_0723_lX3pRTEx85yVhqiMWvkO.wav,0021__LJ002-0143_generated__X__fake_bg_0723_lX3pRTEx85yVhqiMWvkO.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0022__LJ003-0108_generated__X__fake_bg_0725_kwsEtVUeDPhRLo0M9vTA.wav,0022__LJ003-0108_generated__X__fake_bg_0725_kwsEtVUeDPhRLo0M9vTA.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0023__LJ003-0207_generated__X__fake_bg_0467_rKSeNhXibopA4ayL3TxH.wav,0023__LJ003-0207_generated__X__fake_bg_0467_rKSeNhXibopA4ayL3TxH.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0024__LJ004-0154_generated__X__fake_bg_0059_ZND3pgHlCsvdzwa7R2FK.wav,0024__LJ004-0154_generated__X__fake_bg_0059_ZND3pgHlCsvdzwa7R2FK.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0025__LJ001-0084_generated__X__fake_bg_0713_SmN8V1T9HqJAG2zKUnoD.wav,0025__LJ001-0084_generated__X__fake_bg_0713_SmN8V1T9HqJAG2zKUnoD.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0026__LJ002-0301_generated__X__fake_bg_0897_w9dLsqCaP0AUnx3lTJgF.wav,0026__LJ002-0301_generated__X__fake_bg_0897_w9dLsqCaP0AUnx3lTJgF.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0027__LJ001-0007_generated__X__fake_bg_0355_DNPAl2nqL84mGVbXQwes.wav,0027__LJ001-0007_generated__X__fake_bg_0355_DNPAl2nqL84mGVbXQwes.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0028__LJ002-0031_generated__X__fake_bg_0128_VW5P6GSjH3rie80RKJkM.wav,0028__LJ002-0031_generated__X__fake_bg_0128_VW5P6GSjH3rie80RKJkM.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
fake_voice_fake_bg_wf_2s\balanced\0029__LJ003-0153_generated__X__fake_bg_0531_frTwa5oZRS0Au7esY4Wx.wav,0029__LJ003-0153_generated__X__fake_bg_0531_frTwa5oZRS0Au7esY4Wx.wav,fake_voice_fake_bg_wf_2s,balanced,16000,2.0,Valid
